,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika
,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,631,0,0.0,631,0,0.0,631,0,0.0,631,2,0.31695721077654515,631,0,0.0,631,0,0.0,631,0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,154.0,0.0,0.0,154.0,0.0,0.0,154.0,0.0,0.0,154.0,0.0,0.0,154.0,0.0,0.0,154.0,0.0,0.0,154.0,0.0,0.0,216,0,0.0,216,0,0.0,216,0,0.0,216,0,0.0,216,0,0.0,216,0,0.0,216,0,0.0,2182,1,0.045829514207149404,2182,2,0.09165902841429881,2182,0,0.0,2182,1,0.045829514207149404,2182,0,0.0,2182,0,0.0,2182,0,0.0
2010-02-01,624,0,0.0,624,0,0.0,624,0,0.0,624,0,0.0,624,0,0.0,624,0,0.0,624,1,0.16025641025641024,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,270,0,0.0,270,0,0.0,270,0,0.0,270,0,0.0,270,0,0.0,270,0,0.0,270,0,0.0,1980,0,0.0,1980,0,0.0,1980,0,0.0,1980,1,0.050505050505050504,1980,0,0.0,1980,0,0.0,1980,0,0.0
2010-03-01,615,0,0.0,615,0,0.0,615,0,0.0,615,0,0.0,615,0,0.0,615,0,0.0,615,0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,264,0,0.0,264,0,0.0,264,0,0.0,264,0,0.0,264,0,0.0,264,0,0.0,264,0,0.0,2705,0,0.0,2705,0,0.0,2705,0,0.0,2705,1,0.03696857670979667,2705,0,0.0,2705,0,0.0,2705,0,0.0
2010-04-01,959,0,0.0,959,0,0.0,959,0,0.0,959,0,0.0,959,0,0.0,959,0,0.0,959,0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,577,0,0.0,577,0,0.0,577,0,0.0,577,0,0.0,577,0,0.0,577,0,0.0,577,0,0.0,2215,0,0.0,2215,0,0.0,2215,0,0.0,2215,1,0.04514672686230248,2215,0,0.0,2215,0,0.0,2215,0,0.0
2010-05-01,1415,0,0.0,1415,0,0.0,1415,0,0.0,1415,0,0.0,1415,0,0.0,1415,0,0.0,1415,0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,117.0,0.0,0.0,117.0,0.0,0.0,117.0,0.0,0.0,117.0,0.0,0.0,117.0,0.0,0.0,117.0,0.0,0.0,117.0,0.0,0.0,1263,0,0.0,1263,0,0.0,1263,0,0.0,1263,1,0.0791765637371338,1263,0,0.0,1263,0,0.0,1263,0,0.0,2309,0,0.0,2309,1,0.043308791684711995,2309,0,0.0,2309,1,0.043308791684711995,2309,0,0.0,2309,0,0.0,2309,0,0.0
2010-06-01,3294,0,0.0,3294,0,0.0,3294,0,0.0,3294,0,0.0,3294,0,0.0,3294,0,0.0,3294,0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,1347,0,0.0,1347,0,0.0,1347,0,0.0,1347,2,0.14847809948032664,1347,0,0.0,1347,0,0.0,1347,0,0.0,2434,0,0.0,2434,0,0.0,2434,0,0.0,2434,0,0.0,2434,0,0.0,2434,0,0.0,2434,0,0.0
2010-07-01,4437,0,0.0,4437,0,0.0,4437,0,0.0,4437,0,0.0,4437,0,0.0,4437,0,0.0,4437,0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,198.0,0.0,0.0,198.0,0.0,0.0,198.0,0.0,0.0,198.0,0.0,0.0,198.0,0.0,0.0,198.0,0.0,0.0,198.0,0.0,0.0,1253,0,0.0,1253,0,0.0,1253,0,0.0,1253,0,0.0,1253,0,0.0,1253,0,0.0,1253,0,0.0,2120,2,0.09433962264150944,2120,2,0.09433962264150944,2120,0,0.0,2120,3,0.14150943396226415,2120,0,0.0,2120,0,0.0,2120,0,0.0
